title,date_published,news_outlet,authors,text
Netanyahu’s Odd Embrace of Elon Musk,2023-11-30,TheAtlantic,['Adam Serwer'],"Less than a month after the billionaire Elon Musk enthusiastically endorsed the anti-Semitic conspiracy theory that motivated the deadliestmassacre of Jews in American history, this week, he received a warm welcome to Israel from Prime Minister Benjamin Netanyahu.Since Musk took over Twitter, which he has renamed X, the sort ofhateful content that drivesboth negative and positive engagement has flourished on the site. But he has also directly promoted some of the most toxic claims on the platform.He endorsed as “the actual truth” the ideathat Jews were deliberately supporting the immigration of nonwhite people in an act of “hatred against whites.” The post’s implication was that not restricting immigration to Western countries on the basis of race and religion is racist against white people, who have a raciallydefined right to political, cultural, and demographic hegemonyin those nations.As my colleagueYair Rosenberg notes, “It wasn’t the first time Musk echoed anti-Semitic conspiracy theories from his social-media bubble.” No conspiracy theory is necessary to explain why people flee poverty and persecution for nations with greater economic opportunity or political freedom; this is a large part of the story of the United States of America. But perhaps Musk finds in anti-Semitic conspiracy theories a useful means of redirecting frustration over social change or economic hardship away from the obscenely wealthy, like himself, who profit from lower marginal tax rates and a more threadbare social safety net."
Not a World War But a World at War,2023-11-17,TheAtlantic,['Paul Poast'],"Just in the past 24 months, an astonishing number of armed conflicts have started, renewed, or escalated. Some had been fully frozen, meaning that the sides had not sustained direct combat in years; others were long simmering, meaning that low-level fighting would intermittently erupt. All have now become active.The list encompasses not just the wars in Gaza and Ukraine, but hostilities between Armenia and Azerbaijan in Nagorno-Karabakh, Serbian military measures against Kosovo, fighting in Eastern Congo, complete turmoil in Sudan since April, and a fragile cease-fire in Tigray that Ethiopia seems poised to break at any time. Syria and Yemen have not exactly been quiet during this period, and gangs and cartels continuously menace governments, including those in Haiti and Mexico. All of this comes on top of the prospect of a major war breaking out in East Asia, such as by China invading the island of Taiwan.The Uppsala Conflict Data Program, which has been tracking wars globally since 1945,identified2022 and 2023 as the most conflictual years in the world since the end of the Cold War. Back in January 2023, before many of the above conflicts erupted, United Nations Deputy Secretary-General Amina J. Mohammed sounded the alarm,notingthat peace “is now under grave threat” across the globe. The seeming cascade of conflict gives rise to one obvious question: Why?"
‘U.S. Relations With Turkey Are Not Good at this Time’,2018-08-11,TheAtlantic,['Krishnadev Calamur'],"President Donald Trump announced Friday that he had ordered the doubling of tariffs on Turkish steel and aluminum imports, exacerbating relations with aNATOally that has proven intransigent in recent years.“I have just authorized a doubling of Tariffs on Steel and Aluminum with respect to Turkey as their currency, the Turkish Lira, slides rapidly downward against our very strong Dollar!”Trump said on Twitter. “Aluminum will now be 20% and Steel 50%. Our relations with Turkey are not good at this time!”One could argue they haven’t been “good” for some time. Özgür Ünlühisarcikli, an expert on transatlantic relations with the German Marshall Fund in Ankara, said Trump’s tariffs are “very bad news for Turkey-U.S. relations in the short run, in the medium run, and even more in the longer run.”In the short term, he told me, the impact will be on the Turkish economy, as has been seen so far. In the medium run, he said, there will be security challenges for Turkey that will affect Ankara’s security preferences. “But the real impact will be on the longer run,”Ünlühisarcikli said. “I believe that all of this is putting Turkey on a path toward distance from the West. This might not be desirable for either the United States or Turkey at this moment. But it could become a vicious cycle, and it might become too late soon to reverse this.”"
A Very British Protest,2018-07-13,TheAtlantic,['Sophie Gilbert'],"LONDON—The first protestors began assembling on Portland Place, just outside the BBC’s London headquarters, on Friday morning. They carried signs. “FEED HIM TO THE CORGIS,” said one. “TANGERINE TYRANT,” read another. “BOLLOCKS TO TRUMP.” “IKEA HAS BETTER CABINETS.” “TRUMP IS A TOSSER.” “I HAD TO FIX MY PRINTER FOR THIS.”The people gathering to march in protest of President Trump’s U.K. visit had serious intentions, namely to stand up against a leader who’s remarkably unpopular in Britain. But that didn’t mean the tone was totally somber. As the first march of the day, the #BringTheNoise rally, began at 12 p.m., crowds of mostly women carried placards and banners sporting a variety of messages, each more irreverent than the last. “SUPER CALLOUS FRAGILE RACIST SEXIST LYING POTUS,” blared one. “HANDS OFF DONALD,” read another, the words superimposed over a picture of Queen Elizabeth with a red cross over her lower half. One more polite sign, painstakingly crafted on pale-blue paper with floral appliqués and Liberty-print lettering, read “NASTY ENGLISH LADIES AGAINST TRUMP’S MISOGYNY, RACISM, HOMOPHOBIA, ABLEISM, TRANSPHOBIA, ISLAMOPHOBIA.”As far as pastimes go, there are few things that thrill the British more than the art of creative profanity. It’s a tradition that dates back at leastto Shakespeare. So Trump’s visit to the U.K. presented the opportunity for many to protest, but also to exercise a little national pride while doing so. Kate Bottley, a vicar who wore her clerical collar on the march,carried a signthat read “I CAME HERE TO DRINK TEA AND FIGHT FASCISM AND I’VE JUST FINISHED MY TEA.” The slogan was a reference to a quote from the British sitcomThe I.T. Crowd, she said, but also an attempt to keep things dignified. “You know that things are bad when the clergy are getting grumpy about it,” she said. “But one of the things that’s amazing about today is how peaceful it is. There’s a lovely, celebratory atmosphere. It’s really brought people together.”As the earlier women’s march moved down Regent Street toward Trafalgar Square, protestors began gathering for the day’s main event, a larger and more charged assembly of people. The tone, though, remained jovial. One marcher dragged along a speaker blasting the Sex Pistols’ “God Save the Queen.” Among protestors marching for Palestine and a group of women dressed in red gowns and white bonnets as a nod toThe Handmaid’s Tale, a man carried a sign saying, “GO HOME YOU RACIST COCKWOMBLE.” A group of a dozen people in green gowns with white sashes pulled a display case inside of which was a wax model of Oprah Winfrey wearing a campaign rosette. “OPRAH FOR PRESIDENT 2020,” the case read, and in smaller letters, “IN CASE OF EMERGENCY, BREAK GLASS.”"
I Talked to Zionists—Then I Was Disinvited by a Major Muslim Group,2018-05-30,TheAtlantic,['Wajahat Ali'],"On Tuesday, I was disinvited from the 55th annual conference of the Islamic Society of North America, which proclaims itself one of the leading American Muslim organizations. My crimes? Talking to Zionists, writing an article about it, and thanking God for a bowel movement.In a one-page letter, the program committee chair wrote that “our Muslim speakers” are “expected to support broadly our values,” including “our community’s support for the Palestinian people of all faith traditions, in their struggle against occupation and dispossession.” He added that he found my “recent work … troubling.” He also objected to my “continued use of language referencing Allah in manners not befitting His Majesty, whether in jest or otherwise.”The proximate trigger for the letter appears to have been my story inThe Atlantic’s June issue, “A Muslim Among the Settlers.” But it marks the culmination of a years-long campaign by some online activists and religious leaders to limit the range of voices at such events.The controversy stems from my involvement with the Shalom Hartman Institute and its Muslim Leadership Initiative—a program that promotes engagement between American Muslims and Jewish scholars, both in Israel and in New York City, to learn how diverse Jewish communities debate and discuss Israel, Zionism, and Judaism."
Nikki Haley’s Concern for Human Rights Only Went So Far,2018-10-09,TheAtlantic,['Krishnadev Calamur'],"During her confirmation hearing to be President Donald Trump’s envoy to the United Nations, Nikki Haley told U.S. senators, “I will never shy away from calling out other countries for actions taken in conflict with U.S. values and in violation of human rights and international norms.” For the most part, Haley, who announced Tuesday that she would step down at the end of the year, held true to that commitment.Yet at the same time, she was unsparing when the issue of human rights conflicted with American policy or that of its allies, as it did when she announced in June that the United States was withdrawing from the UN Human Rights Council because of, among other things, its “chronic bias against Israel.”Akshaya Kumar, the deputy UN director at Human Rights Watch, told me that Haley seemed to justify her decision to pull the United States out in narrow terms, making it “basically all about Israel, ignoring the good work the council does all around the world.” “We’ve seen her very willing to embrace rights-based rhetoric on issues like Iran, Venezuela, and Nicaragua, even South Sudan or Congo, but then ... shying away from it when it’s geopolitically inconvenient like in a place like Yemen or even Iraq or Syria,” Kumar said."
The Forgotten Supreme Court Justice Who Could Save American Politics,2016-06-03,TheAtlantic,['Jeffrey Rosen'],"Louis Brandeis, who was confirmed to the Supreme Court exactly 100 years ago, was America’s greatest critic of bigness since Thomas Jefferson. Denouncing big banks as well as big government as symptoms of what he called a “curse of bigness,” Brandeis was determined to diminish concentrated financial and federal power, which he viewed as a menace to liberty and democracy. He is also the Jeffersonian prophet who has been most consistently vindicated. The “people’s lawyer,” who predicted the stock-market crash of 1929, was a ferocious critic of economic and political consolidation in an earlier age of “too big to fail.” More than any other Supreme Court justice, he shows the importance of translating values of privacy and free speech in an age of technological change.So why hasn’t Brandeis been invoked more frequently in the U.S. presidential election? Candidates from Sanders and Clinton to Ted Cruz have criticized big banks. Citizens on both sides of the aisle, from Tea Party conservatives to Feel the Bern progressives, have questioned the idea of “too big to fail.” Brandeis would seem to be a natural icon for this moment in American politics, yet politicians today rarely draw on his legacy.Part of the reason may be that Americans live in a Hamiltonian world—and not only thanks to the hit musical. Liberals and conservatives today attack either big business, like Sanders and Clinton, or big government, like Cruz, but not both. By contrast, Brandeis was the leader of a Jeffersonian tradition that is as distinctive in the 21st century as it was during the New Deal era: He was a progressive champion of federalism and the first person to characterize states as “laboratories of democracy,” a phrase that has become a touchstone of libertarians and conservatives today. At the same time, Brandeis also criticized big business. In his view, only in small communities could citizens develop their faculties of reason through the rigorous self-education he believed was necessary for full participation in American democracy.Brandeis waited 125 days between his nomination to the Supreme Court on January 28, 1916, and his confirmation on June 1. The anniversary is significant as America confronts not only a hotly contested Supreme Court vacancy but also a momentous presidential election that has unleashed angry forces of economic populism. Brandeis’s long wait for a confirmation hearing reflected, above all, the fierce opposition he attracted from J.P. Morgan and other financial oligarchs who helped cause the crash of 1929 and whose successors at the House of Morgan also helped cause the crash of 2007."
What We Talk About When We Talk About Israel,2022-07-15,TheAtlantic,['Matti Friedman'],"In search of atmosphereand inspiration as I contemplated Walter Russell Mead’s magisterialnew bookabout Israel and Jews in the American imagination, I took the bus from my street in Jerusalem across town to the American Colony. Founded in 1881 by fervent Protestants from Chicago, the colony was one of several attempts by 19th-century Americans to settle the Holy Land. Part of the idea was to induce Jews to take up farming by education or example, thus sparking a Jewish restoration that would in turn bring the Second Coming of Christ. But what made sense in Illinois made less sense in Ottoman Palestine, and the believers ultimately had to admit that real Jews weren’t particularly interested. Today the messianic compound is a luxury hotel.The American Colony, where I’m writing these lines on a table in the courtyard, is one physical incarnation of the thesis ofThe Arc of a Covenant: The United States, Israel, and the Fate of the Jewish People. Mead, a distinguished professor of foreign affairs, columnist, and author, would like to take us on a tour not of Israel but of the manifestations of Israel in the American mind—an even weirder place than the actual country where I live and report."
The Imprisoned Egyptian Activist Who Never Stopped Campaigning for His Country’s Future,2022-05-14,TheAtlantic,['Yasmine El Rashidi'],"In the summer of 2011, several months after the protest-led ouster of Egyptian President Hosni Mubarak, I participated in a program on Al Jazeera’s English-language channel calledThe Café. The setup was intended to mirror the atmosphere of street-side cafés in Egypt at the time, animated with the political debates and newfound openness that the revolution had brought about. Eight of us took part, representing various walks of life and different points along the political spectrum, and we filmed over several hours at an actual café some 10 minutes from Tahrir Square. The most prominent among us was Alaa Abd el-Fattah, a blogger, a computer programmer, and an activist who is currently imprisoned in Cairo’s notorious Tora Prison.Over the past 10 years, the majority of which has seen Alaa (who is a friend) imprisoned or on probation, he has been writing—essays, newspaper columns, letters, Facebook posts, tweets—and his works have now been collected inYou Have Not Yet Been Defeated. The book offers a kaleidoscopic view of his thoughts and interests, touching on topics as varied as the threat of robots taking our jobs, the conflict in Gaza,Game of Thrones(he loved it), and climate change. His descriptions of prison life in the past decade—through all of his hunger strikes, the loss of his father, the imprisonment of his sister, the birth of his son, the torture and death of prison mates—are harrowing, but his book is also an important record of the pivot points where the revolution began to lose tack, the choices made by a movement that couldn’t maintain a unified front. Alaa, who grew up in a family of activists, has been thinking and writing about human rights and democracy since he was a teenager. But he has also written about subjects such as the dangers of capitalism and powerful tech companies’ impact on citizens—all part of his effort to envision what a sustainable and equitable society, built on the strong foundations of a shared democratic culture, might look like."
Should You Delete Your Kid’s TikTok This Week?,2023-10-11,TheAtlantic,['Caroline Mimbs Nyce'],"Updated at 3:52 p.m. ET on October 12, 2023This week, a teenager might open up their TikTok feed and immediately be served a video aboutahairbrushthat promises to gently detangle the roughest of tangles. Or a clip about Travis Kelce and Taylor Swift’s rumored romance. Or the app could show them a scene from the Israeli Supernova music festival, where on Saturdaya young woman namedNoa Argamaniwas put on the backof a motorcycle as her boyfriendwas held by captors.Footage from Hamas’s surprise attack on Israel, and the retaliatory strikes it has prompted, is appearing in social-media feeds across the world. Videos about the conflicthave drawn billions of viewson TikTok alone, according toThe Washington Post, and queries related to it have appeared in the app’s trending searches. Hamas reportedlyposted the murder of one grandmotherto her own Facebook page."
When You’re Not in Control of Your Life,2023-10-04,TheAtlantic,[],
Hamas’s Hostage-Taking Handbook Says to ‘Kill the Difficult Ones’ and Use Hostages as ‘Human Shields’,2023-10-19,TheAtlantic,['Graeme Wood'],"A hostage-taking manual that an official in the Israel Defense Forces told me was recovered in the aftermath of the Hamas attack suggests that the group’s hostage-taking on October 7 did not go according to plan. Right now, more than 200 hostages are thought to be in Hamas’s hands in Gaza. The manual suggests that the group at first intended not to spirit all of them into Gaza, but instead to take them hostage where they were found inside Israel, possibly for a protracted standoff.The Atlanticobtained a copy of the manual from an IDF official, who vouched for its authenticity and who asked not to be identified because of the sensitivity of the materials. Israeli President Isaac Herzog had earlier referred to the document in an interview on CNN, calling it “an instruction guide, how to go into civilian areas, into a kibbutz, a city, amoshav[agricultural co-op].” He said it described “exactly how to torture them, how to abduct them, how to kidnap them.”The hostage-taking, according to the manual, is meant to happen “in the field,” in areas that have been “cleansed” and brought under control. After the hostages are brought together, it says, they should be culled (“kill those expected to resist and those that pose a threat”); the others should be bound and blindfolded, then “reassured,” to keep them docile. “Use them as human shields,” it says, and use “electric shocks” to force compliance."
What Another Round of Netanyahu Will Mean for American Jews,2019-04-08,TheAtlantic,['Emma Green'],"Benjamin Netanyahu’s main opponents have tried to use an unusual weapon against the longtime prime minister ahead of a defining Israeli election set for Tuesday: They’ve argued that he has damaged the relationship between Israel and diaspora Jews.For some American Jews, the strong alliance between Netanyahu and Donald Trump of the past few years has added stress to their relationship with Israel, which has become especially fraught in the years since the collapse of the Israeli-Palestinian peace process in the early 2000s. While some Jews in the U.S. appreciate Trump’s positions on Israel, many detest the American president’s domestic politics and believe that he has enabled anti-Semitism and xenophobia. And while segments of the self-identified pro-Israel community in the U.S. resolutely support anything that the Israeli prime minister does, some have been wary of Netanyahu’s alliance with right-wing forces, and disappointed by what they see as his failure to facilitate religious pluralism. Tuesday’s major election in Israel marks a high point of strain in the relationship between at least some American Jews and Israel, which has changed radically in the past generation.To understand the American Jewish relationship with Israel, it’s helpful to divide American Jews into three rough categories. On the right lies the self-described pro-Israel crowd, many of whom are Republicans, and many of whom are deeply religious. For the most part, this group would cheer another round of Netanyahu. Among modern-Orthodox Jews, for example, “the relationship is incredibly strong—it’s as strong as ever,” Nathan Diament, the executive director of the Orthodox Union Advocacy Center, told me. Part of this connection is sociological; these Jews often travel to Israel, have family there, and send their children there to study.  Some in this group don’t believe it’s their place to criticize Israeli policy. “We should be deferential to the decisions that the democratically elected leaders in Israel make about Israel’s security,” Diament said. “They’re the ones whose lives are on the line, and they’re the ones whose kids are serving in the [Israel Defense Forces].”"
Israel Shows Us the Future of Protest,2020-04-23,TheAtlantic,['Yasmeen Serhan'],
The ‘Israel Model’ Won’t Work for Ukraine,2023-07-13,TheAtlantic,['Eliot A. Cohen'],"At the Vilnius summit, the United States and Germany have led the coalition of the squeamish in opposition to announcing a timetable for Ukrainian membership in NATO. They have some modestly plausible reasons, including fear of an automatic commitment to immediate war with Russia and reluctance to bring in a country whose territory is still partially occupied and whose institutions are not fully reformed.Other arguments suggest a less thoughtful view. Ukraine has to show that it can handle modern military technology, or that it is a thriving democracy? Compare it with militarily negligible and politically contemptible Hungary, and the absurdity of these kinds of requirements becomes clear. One might infer from some official pronouncements that NATO membership is like joining a snooty club to which only those with good pedigree, clean shirt collars, and immaculately shined shoes need apply. It is not. NATO membership for Ukraine is a guarantee of Western (and not only Ukrainian) security and stability. It is not a favor to Ukraine but a move to avert another big European war.The notion that NATO membership cannot be given to a country at war means that Russia has every incentive to keep the war simmering, no matter the cost. Similarly, the idea that a country that is partly occupied and whose borders are not universally recognized cannot be admitted will cause Russia to cling desperately to any piece of Ukrainian territory it can hold. Let it be noted that Germany joined NATO while under occupation by both the Soviet Union and the Western allies, and before it had acceded to its post-1945 borders."
Zelensky Has an Answer for DeSantis,2023-03-20,TheAtlantic,['Anne Applebaum'],"Imagine that someone—perhaps a man from Florida, or maybe even a governor of Florida—criticizedAmerican support for Ukraine. Imagine that this person dismissed the war between Russia and Ukraine as a purely local matter, of no broader significance. Imagine that this person eventolda far-right television personality that “while the U.S. has many vital national interests ... becoming further entangled in a territorial dispute between Ukraine and Russia is not one of them.” How would a Ukrainian respond? More to the point, how would the leader of Ukraine respond?As it happens, an opportunity to ask that hypothetical question recently availed itself. The chair of the board of directors ofThe Atlantic, Laurene Powell Jobs;The Atlantic’s editor in chief, Jeffrey Goldberg; and I interviewed President Volodymyr Zelensky several days ago in the presidential palace in Kyiv. In the course of an hour-long conversation, Goldberg asked Zelensky what he would say to someone, perhaps a governor of Florida, who wonders why Americans should help Ukraine."
A Shocked and Frazzled Collective Mind,2023-10-08,TheAtlantic,['Ruby Namdar'],"I will never forget that mild, golden early-October day almost exactly 50 years ago: the jarring sound of the sirens that tore into the otherworldly silence of Yom Kippur, the day of atonement; the ultra-Orthodox men, still wrapped in their snow-white High Holiday robes and fringed prayer shawls, riding on army jeeps that drove them to their volunteer positions in hospitals and military morgues—an inconceivable sight. But the most unsettling memory is of the famous speech that the prime minister, Golda Meir, delivered that evening on Israeli television, her voice trembling, her appearance bewildered. I was only 9, but I will never forget the fear in the eyes of the grown-ups. We were gathered around the clunky, old-fashioned TV set in my grandmother’s house in Jerusalem, and there was the distinct feeling that they were no longer in control of reality, that they themselves were like lost children.Waking up yesterday and glancing at my cellphone to see what was new in the world, learning about the horrific attack that Hamas had launched against so many civilians in the south of Israel, sent me straight back to that day, to the boy I was then. Shock, bewilderment, a slight nausea, a sudden urge to fight back the tears that welled in my eyes. The frightened look on the face of my parents and my aunts and uncles was the first thing that came to my mind—but now I, we, all Israelis, were those frightened grown-ups who’d lost the sense of control over our reality."
A Prayer for Peace in Bethlehem,2016-12-24,TheAtlantic,['Bethany Allen-Ebrahimian'],"Vera Baboun was 24 years old when she first realized that her hometown was truly different from other cities in the world.Her childhood in Bethlehem had seemed normal, even idyllic. Born in 1963, Baboun attended a Christian school, sang in the church choir, and played tennis. Each December, she would watch the city’s Christmas-tree lighting. As a Girl Scout, she volunteered with the annual procession of the patriarchs, an Orthodox Christian tradition that occurs a few days before Christmas each year. She married young, in her early 20s.But in 1987, tensions in Palestine exploded in what became known as theFirst Intifada, an uprising against Israeli control over parts of the territories. That was when Baboun first experienced the meaning of occupation in a deeply personal way. Her husband was detained in 1990 as part of the political resistance. His health deteriorated, but he remained in detention until 1993. In 2000, Baboun told me, the Israeli army demolished his place of work, part of a punitive practice targeting Palestinians that the U.S.-based NGO Human Rights Watch hascondemned."
The Theory of Hamas’s Catastrophic Success,2023-11-03,TheAtlantic,['Graeme Wood'],"Updated at 9:50 a.m. ET on November 6, 2023Three daysafter Hamas’s attack on Israel, Icalledthe operation a “catastrophic success.” Now Hamas itself is saying something similar. A strangereportinMiddle East Eye(a publication funded by Hamas-friendly Qatar) quotes Hamas leaders admitting that they intended to commit heinous war crimes, but not at this scale. Hamas “had in mind to take between 20 and 30 hostages,” a source told the reporter. “They had not bargained on the collapse of [Israel’s] Gaza Division. This produced a much bigger result.”By “bigger result,” the source presumably meant the murder, torture, and dismemberment of more than 1,400 Israelis, Thais, Nepalis, and others. Another bigger-than-anticipated result might be the invasion of Gaza. Had the dead and kidnapped numbered in the dozens, Israel would have had to consider its options. Once Hamas broke the three- and then four-digit barriers, Israel’s commitment to destroy Hamas completely became inevitable. Hamas’s main military benefactor, Iran, tends to mount attacksjustunder the threshold of causing all-out war. That pattern keeps the geopolitical consequences manageable. Hamas’s attack crossed that line."
The Fight Over Ilhan Omar Is a Fight Over the Identity of the Democratic Party,2019-03-07,TheAtlantic,['Emma Green'],"The U.S. House of Representatives voted on Thursday to condemn anti-Semitism, along with a litany of bigotries against Muslims, immigrants, Asian Americans and Pacific Islanders, LGBT people, and members of other religious minorities. The resolution followed a week of drama in the Democratic Party, with members clashing over yet another controversial comment on Israel by Representative Ilhan Omar of Minnesota. In a recent panel discussion, she suggested that pro-Israel political groups in Washington “push allegiance to a foreign country,” seeming to echo the classically anti-Semitic allegation that Jews are more loyal to other Jews or to Israel than to the United States.Thursday’s resolution was an attempt at compromise between House members who believe Omar has repeatedly dabbled in anti-Semitic tropes, and those who feel she has been unfairly berated for criticizing and singled out because she is black and Muslim. The resolution specifically condemns intimations of dual loyalty wielded against Jews in discussion about Israel, along with similar accusations made against Muslims in the wake of 9/11. This week, a poster connecting Omar to the September 11 terrorist attackswas displayed outside the West Virginia House of Delegatesduring a state GOP event."
The Lessons Israel Failed to Learn From the Yom Kippur War,2023-10-13,TheAtlantic,"['Keren Yarhi-Milo, Tim Naftali']","The parallels areblindingly and painfully obvious. A surprise attack against an Israel caught largely unaware; an invading military force; the timing, a holy day in early October; the victims, an unsuspecting population forced to scramble for underground bomb shelters and mobilize for war; the mistakes by an intelligence apparatus that is the envy of the world.But the surprise attack that took place in Israel this past weekend is arguably worse than the one that launched the Yom Kippur War of 1973. Hamas, a guerrilla organization that controls the Gaza Strip, has already killed many more Israeli civilians in the first days of this war than Egypt and Syria, sovereign nations with national armies, killed during the October war 50 years ago. Hamas struck targets deep inside Israeli towns. The magnitude and sophistication of this past weekend’s attacks—carried out in multiple locations and involving thousands of fighters—imply that this offensive was in the works for several months, if not longer. And intelligence gathering should have been easier in Gaza, where Israel is reputed to have massive surveillance systems, than it was in Egypt and Syria in the early 1970s. How could Israel have missed the planning of this assault?The first explanations put forth by experts and journalists suggest that the problem was largely a matter of intelligence collection. Perhaps Israel over-relied on signals intelligence and other electronic sources, and Hamas learned to circumvent detection—for example, byusing dronesto disable systems along the border. Another possibility is that Israel lacked enough, or credible enough, human intelligence sources within the inner circle of Hamas’s political leader, Ismail Haniyeh, or access to the plans of its military commander, Mohammed Deif. In 1973, the Israelis had a highly placed human source: the late Egyptian President Gamal Abdel Nasser’s son-in-law, Ashraf Marwan, who was also a close adviser to President Anwar Sadat. A third theory is that Israeli intelligence was distracted by a multitude of threats; much of the Israeli military was stationed near the West Bank before this weekend’s attack. Finally, Hamas might have used deception, lulling Jerusalem into assuming the group was willing to live with Israel’s normalization of relations with Arab countries. In 1973, the Egyptians used a regularly scheduled military exercise to cover up their war preparations.But intelligence failures can also be the product of a failure of imagination. The disorganization and slowness of Israel’s response on Saturday strongly suggest that the country’s political and military leaders might suffer from the same psychological misconceptions that Israeli Prime Minister Golda Meir and her advisers—and some in the U.S. government—did in 1973. In both instances, Israel’s leaders appear to have misread their Arab adversaries, grossly underestimating their enemies’ propensity for taking risks and overestimating their own deterrent capability. These mental shortcomings can blind a modern intelligence service, no matter its level of sophistication, and the government it serves. A look back at what went wrong in October 1973, using some materials released in the past decade, provides useful historical context for thinking about the shock of last weekend."
Why Israel Should Obey Geneva Even When Its Enemies Do Not,2023-10-27,TheAtlantic,['Michael Ignatieff'],"We are againwitnessing what a world without pity looks like. The invasion of Ukraine; Russia’s murder of civilians in Bucha; Hamas killers filming themselves murdering women, children, and retirees in kibbutz gardens; the pulverization of Gaza and mass civilian casualties. We’ve been catapulted backwards into the lawless universe Bruegel painted centuries ago in hisMassacre of the Innocents.When the internationally sanctionedsystem of rules collapses, the legal and ethical norms that regulate individual conduct begin to founder. Justifications of violence are hurled around, with all the righteousness that goes with identity claims and group loyalty. Mere bystanders rush to judgment in service of their prior political certainties.Amid this moral storm, we have one piece of wreckage to cling to. The Geneva Conventions still figure prominently on both sides of the propaganda battle over the current conflict in Gaza, suggesting that they still have some vestigial authority. Hamas’s supporters cite these laws of war to justify its actions, and to claim that Israel violates the rules. For its part, Israel insists that it abides by them, because its military lawyers and commanders adhere to principles of proportionality and discretion, and take measures to avoid civilian casualties."
No One Is Coming to Help the Palestinians,2021-05-16,TheAtlantic,['Kim Ghattas'],"“Today Iran, tomorrow Palestine.” Thus cheered the crowd in Tehran in February 1979, during the Palestinian leader Yasser Arafat’s visit to Ayatollah Ruhollah Khomeini just days after the success of the Iranian revolution. Arafat was the first foreign dignitary to visit Iran after the fall of the shah. For him, Khomeini’s success was a win for the Palestinian cause: His guerrilla fighters had helped train Iranian revolutionaries in Lebanon, and he was hopeful that, with Khomeini’s help, he would soon be on his way to establishing a Palestinian state.This fascinating and relatively little-known episode in the Middle East’s history altered the region’s political landscape, and still informs the context in which today’s events in the Palestinian territories and Israel are unfolding. Although the personal relationship between Arafat and Khomeini soured within a year, their encounter marks the moment when revolutionary Iran’s involvement with the Palestinians began, and when the Palestinian issue inserted itself into a then-still-nascent regional rivalry between Saudi Arabia and Iran."
Biden Will Be Guided by His Zionism,2023-10-10,TheAtlantic,['Franklin Foer'],"Updated at 4:28 p.m. ET on October 10, 2023On Sunday morning, Joe Biden got on the phone with Benjamin Netanyahu. After the barbaric attack launched against Israel the day before, the Israeli prime minister was able to offer a granular account of what was already known about the unfolding catastrophe. According to two Biden-administration officials who spoke on the condition of anonymity, he gave Biden a vivid set of details about the assault on the music festival in the south of his country. The death toll, he reported, was well over 200—part of the more than 800 Israelis already reported killed in the Hamas assault. Netanyahu’s anger and despair poured through the phone.Biden and Netanyahu have known each other since the 1980s. Their shared history includes navigating rocket attacks, terrorist assaults, and ground wars. But the president’s aides reported that Biden instantly understood Hamas’s invasion to be different in scale and kind than anything in his political memory, and Netanyahu’s raw account of the carnage stoked Biden’s feelings of anger."
Students for Pogroms in Israel,2023-10-14,TheAtlantic,['Conor Friedersdorf'],"Campus politics in America irrevocably changed this week when student groups that champion the noble goal of justice for Palestinians endorsed the evil means of war crimes in pursuit of it.Last Saturday, hundreds of gun-toting men stormed into Israel by land, air, and sea with the express purpose of killing as many Jews as possible. They succeeded in perpetrating a pogrom reminiscent of the Cossacks and the Nazis. They murdered civilians in their homes as their families watched. They massacred young people at a music festival. They kidnapped children.Across America, millions of people with wildly diverse opinions on the longstanding conflict between Israel and Palestine denounced those atrocities, because it is always wrong to deliberately target and slaughter civilians and it is always wrong to abduct, let alone kill, children.I naively believed that those were near-consensus beliefs on college campuses––that whether one sided with Israelis or Palestinians in the long and heartrending conflict between them, almost everyone could agree that certain actions were evil regardless of who took them. Then this week, on dozens of campuses, student groups reacted to the attacks by attempting to absolve the murderers and child abductors of all responsibility."
Why Trump Threatened to Close Palestine's D.C. Headquarters,2017-11-21,TheAtlantic,['Grant Rumley'],"This week, the Trump administrationthreatenedto close the Washington office of the Palestine Liberation Organization (PLO) if the Palestinians did not immediately halt their campaign at the International Criminal Court (ICC) and agree to engage in the soon-to-be announced peace process. In response, the PLOannouncedtoday that it would halt all contacts with American officials. Though the Palestinians joined the ICC over two years ago—and have yet to successfully bring a case against an Israeli—it was Palestinian leader Mahmoud Abbas’scommentsat the UN General Assembly in September in which he called on the ICC to “open an investigation” and prosecute Israeli officials, that reportedly were a bridge too far for the Trump administration.The crisis comes at a delicate time. The White House is hoping to re-launch peace talks soon with a to-be-announced program, one that it hopes will capitalize on Israel’s growingrelationswith the broader Arab world. An important component of this regional architecture—for the Arab world—is progress on the Israeli-Palestinian conflict. Whether this latest crisis is simply bureaucratic or an attempt to pressure the Palestinians into accepting the White House’s plans, Abbas’s response is still the same. He will resist external pressure, dig in his heels, and double down on his international campaign."
